symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,super_inflow,super_outflow,super_net_inflow,big_inflow,big_outflow,big_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,super_net_flow_ratio,big_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0484,2026-04-01T00:00:00Z,1163283,1158810,1169688,1149542,1151399,7411,0.64,3816490,3025271857,2.61,1.01,0.00,0,1657106,2159384,164087203000,111479539000,-88438568,240482616,296711728,-56229112,577548592,609758048,-32209456,1005261760,956790016,48471744,1108811520,1068844704,39966816,-2.92,-1.86,-1.06,1.60,1.32,0,16,10,4,2,0,0,29.27,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.213291+08:00
BK0485,2026-04-01T00:00:00Z,1659623,1678977,1682179,1637373,1640019,38958,2.38,4777646,6358064421,2.19,1.18,0.00,0,2538484,2239162,402054064000,351367296000,96573536,458276752,393037872,65238880,1394613248,1363278592,31334656,2047071968,2241408464,-194336496,2327053904,2229290944,97762960,1.52,1.03,0.49,-3.06,1.54,0,38,34,4,0,0,0,50.68,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.789452+08:00
BK0486,2026-04-01T00:00:00Z,1076986,1076714,1077970,1063677,1059031,17683,1.67,35103629,47168490723,2.39,1.28,0.00,0,18038675,17064954,1697991120000,1570236016000,1418079696,5345908224,4123568432,1222339792,11483648768,11287908864,195739904,15206551296,15486725888,-280174592,13973937152,15126682112,-1152744960,3.01,2.59,0.41,-0.59,-2.44,0,130,112,14,4,0,0,62.20,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.795782+08:00
BK0490,2026-04-01T00:00:00Z,8663425,8609662,8676616,8549654,8514856,94806,1.11,95240027,172231908844,3.15,0.97,0.00,0,44837225,50402802,6368893952000,5560532992000,-2797209600,17861435392,18380710144,-519274752,39490799872,41768734720,-2277934848,54880463104,56330858240,-1450395136,55022590720,50844944128,4177646592,-1.62,-0.30,-1.32,-0.84,2.43,0,423,314,102,7,0,0,135.51,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:54.590167+08:00
BK0492,2026-04-01T00:00:00Z,1257190,1249177,1259940,1244256,1247659,1518,0.12,38491670,37214857496,1.95,0.65,0.00,0,18474394,20017277,3247049088000,2849574704000,-1760196272,4204612944,4996446208,-791833264,8802136832,9770499840,-968363008,11592965888,11513938944,79026944,11732140544,10052965376,1679175168,-4.73,-2.13,-2.60,0.21,4.51,0,74,43,28,3,0,0,20.48,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:55.282928+08:00
BK0493,2026-04-01T00:00:00Z,1999186,1982689,2003199,1971441,1970180,12509,0.63,139626481,139059297564,3.26,0.76,0.00,0,64472095,75154386,7597279232000,4663221504000,-3483796736,17534187520,18501871104,-967683584,31695564288,34211677440,-2516113152,42974425856,43976889856,-1002464000,43362596096,38874358272,4488237824,-2.51,-0.70,-1.81,-0.72,3.23,0,217,149,63,5,0,0,29.16,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:54.784809+08:00
BK0494,2026-04-01T00:00:00Z,1547999,1542013,1551497,1532008,1523841,18172,1.19,101895644,132813974533,2.52,0.85,0.00,0,49239916,52655729,5347009280000,4712533760000,2468425984,19055451904,15984155904,3071296000,31535123712,32137993728,-602870016,41304439552,43459227648,-2154788096,37314946560,37600297728,-285351168,1.86,2.31,-0.45,-1.62,-0.21,0,422,330,85,7,0,0,39.75,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:55.647589+08:00
BK0498,2026-04-01T00:00:00Z,1243346,1239994,1245441,1231135,1231802,8192,0.67,30806064,20032759356,1.82,1.05,0.00,0,15761648,15044416,1351176496000,1086635840000,-538373680,2485292928,2492166400,-6873472,4068796752,4600296960,-531500208,6051759360,5971714304,80045056,6788878336,6330549760,458328576,-2.69,-0.03,-2.65,0.40,2.29,0,72,56,15,1,0,0,49.52,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:35:04.03324+08:00
BK0499,2026-04-01T00:00:00Z,940782,942313,943981,935557,928444,13869,1.49,123591409,239350273747,0.54,0.95,0.00,0,59549427,64041982,42619122176000,27196972288000,2536960000,42435255552,40006359296,2428896256,63126467584,63018403840,108063744,70811684864,72764071936,-1952387072,57080225024,57664798976,-584573952,1.06,1.01,0.05,-0.82,-0.24,0,185,137,44,4,0,0,12.45,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:35:03.867295+08:00
BK0500,2026-04-01T00:00:00Z,1213833,1216213,1218324,1208824,1197244,18969,1.58,216483196,503744057000,0.66,0.98,0.00,0,107663782,108819414,66370552576000,50856072448000,9099501568,101790523392,92232986624,9557536768,138141892608,138599927808,-458035200,148559822848,155224719360,-6664896512,102669438976,105104044032,-2434605056,1.81,1.90,-0.09,-1.32,-0.48,0,300,242,54,4,0,0,14.13,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:35:04.343625+08:00
