symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0644,2026-08-04T00:00:00Z,621280,631554,633411,617854,618150,13404,2.17,47883003,139502933864,2.39,0.97,0.00,0,24477123,23405881,6417843712000,5761746176000,9606740480,26124964864,17094635776,9030329088,34175355392,33598944000,576411392,38927220480,43934523136,-5007302656,37848052224,42448241152,-4600188928,6.89,6.47,0.41,-3.59,-3.30,0,215,161,51,3,0,0,29.23,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0653,2026-08-04T00:00:00Z,256570,257662,258097,255729,255643,2019,0.79,36491797,35756978367,2.01,1.05,0.00,0,17027442,19464355,2724414000000,2039788944000,-987687632,3743557568,4113489296,-369931728,7841110784,8458866688,-617755904,11373446144,11246860032,126586112,12184695040,11323593472,861101568,-2.76,-1.03,-1.73,0.35,2.41,0,129,70,51,8,0,0,18.12,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0655,2026-08-04T00:00:00Z,427670,436353,437198,426960,423900,12453,2.94,47485503,96172914018,2.57,1.02,0.00,0,24145250,23340253,4739439872000,2494601344000,4728060160,14759225600,11133763584,3625462016,23156639488,22054041344,1102598144,28920962048,31301332736,-2380370688,27706716928,30046315776,-2339598848,4.92,3.77,1.15,-2.48,-2.43,0,130,116,11,3,0,0,25.74,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0656,2026-08-04T00:00:00Z,122999,123802,124267,122471,122609,1193,0.97,3955996,4273487995,1.39,0.86,0.00,0,1894320,2061676,291646560000,273288064000,-203115904,350692816,535023744,-184330928,929314416,948099392,-18784976,1386049152,1342666560,43382592,1531064320,1371331008,159733312,-4.75,-4.31,-0.44,1.02,3.74,0,13,8,5,0,0,0,28.16,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0662,2026-08-04T00:00:00Z,194637,198007,198317,194433,193396,4611,2.38,48399666,61128475311,4.47,1.27,0.00,0,25385176,23014490,1366277424000,1226084768000,1571176704,7672222464,6267570688,1404651776,14816769536,14650244608,166524928,19243701248,19870936320,-627235072,17956176128,18892166656,-935990528,2.57,2.30,0.27,-1.03,-1.53,0,112,85,27,0,0,0,86.55,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0664,2026-08-04T00:00:00Z,160341,160985,161338,159920,159630,1355,0.85,23557237,22077008961,2.18,0.91,0.00,0,11016877,12540359,1195498928000,1094388368000,-174095488,1447821520,1199865680,247955840,4297884928,4719936256,-422051328,6915593728,7115883776,-200290048,8948126720,8567552768,380573952,-0.79,1.12,-1.91,-0.91,1.72,0,154,85,64,5,0,0,21.63,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0665,2026-08-04T00:00:00Z,213205,214167,214647,212179,212476,1691,0.80,76761931,86845832069,2.14,0.97,0.00,0,37738213,39023717,5627706624000,5018971648000,-813370624,9552534272,8627630080,924904192,18255486208,19993761024,-1738274816,27712239872,27763706368,-51466496,29521089792,28651951872,869137920,-0.94,1.06,-2.00,-0.06,1.00,0,345,177,160,8,0,0,36.96,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0666,2026-08-04T00:00:00Z,456917,473972,476042,455149,452724,21248,4.69,48673480,123611993800,3.11,0.95,0.00,0,27356679,21316802,4867847680000,4519315968000,12123682048,27330293248,16399788032,10930505216,29660637184,28467460352,1193176832,33800709888,39262637312,-5461927424,30992031488,37638642944,-6646611456,9.81,8.84,0.97,-4.42,-5.38,0,126,113,11,2,0,0,47.43,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0667,2026-08-04T00:00:00Z,304557,310846,311593,303378,302271,8575,2.84,25056553,45611198556,2.87,0.99,0.00,0,12783692,12272861,1723656768000,1593425408000,1290362112,5250503168,4671735040,578768128,11222595584,10511001600,711593984,14118122240,14725095168,-606972928,14002443264,14670224384,-667781120,2.83,1.27,1.56,-1.33,-1.46,0,115,97,14,4,0,0,57.99,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0668,2026-08-04T00:00:00Z,399121,404672,405437,399121,396852,7820,1.97,49179525,95827057887,2.22,0.95,0.00,0,24967592,24211933,4824082176000,4241820304000,1880825600,9675950336,7807756544,1868193792,21946199808,21933568000,12631808,31748647936,32774402560,-1025754624,30581234688,31445967104,-864732416,1.96,1.95,0.01,-1.07,-0.90,0,335,246,80,9,0,0,35.16,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
